	
	
🔨点播测试,#genre#
AutoGPT来了,https://dghls.mcloud.139.com/hls/LM846b56818280d80ebfb6944c164cc8a1/playlist.m3u8?ci=1811UaL6m35717820230413220154rht&fileSize=9464136
小A说周期,https://dghls.mcloud.139.com/hls/LQe7582ad671c66665235d7bb7b42d02e3/playlist.m3u8?ci=1811UaL6m35715420230408113622mzs&fileSize=140130913
GPT AI 上头了,https://dghls.mcloud.139.com/hls/LQa5938373cd2d3f2258ccebd144243ac2/playlist.m3u8?ci=1811UaL6m35715520230326100538far&fileSize=102968485
GPT进化插件,https://dghls.mcloud.139.com/hls/LAc9ad446cbf85e5f9c206822b7b060f4b/playlist.m3u8?ci=1811UaL6m35717720230325201335xs2&fileSize=29982759
GPT4联网了,https://dghls.mcloud.139.com/hls/L7eec8eb6ffc4702f633a1cabc1dd321a6/playlist.m3u8?ci=1811UaL6m35717820230324143957a21&fileSize=13276759
苹果面部识别,https://dghls.mcloud.139.com/hls/L893f9856caad55d96bb62b18d2ec4d6da/playlist.m3u8?ci=1811UaL6m35717720230324144305qqz&fileSize=38926030

创意设计,https://dghls.mcloud.139.com/hls/LP569e9a2f57213e5e89388d7c1eed095c/playlist.m3u8?ci=1811UaL6m3571582023043010351111c&fileSize=16732987
读心术,https://dghls.mcloud.139.com/hls/LI0a3a6ed67d3a3356a37d3915c565f454/playlist.m3u8?ci=1811UaL6m35715720230508123331ry0&fileSize=15295021
赚钱和挣钱,https://dghls.mcloud.139.com/hls/LB2975b8863bc16d78f99661160eeffece/playlist.m3u8?ci=1811UaL6m357154202303252018221ta&fileSize=147884987
说说城投债,https://dghls.mcloud.139.com/hls/L7bac1c8cf29dd103ae07559b718cc7744/playlist.m3u8?ci=1811UaL6m35717820230326144249htp&fileSize=99888100
萌娃,https://dghls.mcloud.139.com/hls/LP5253e334967dc5c7670fb563c51a122b/playlist.m3u8?ci=1811UaL6m357177202303211126559re&fileSize=22106831
萌娃籼籼,https://dghls.mcloud.139.com/hls/LPc6e4af053edc65ed6977cef64cb6c611/playlist.m3u8?ci=1811UaL6m35715820230321112551n7j&fileSize=40788701
东北萌娃,https://dghls.mcloud.139.com/hls/LQd5fb196994000a0fae17424c78f0aec9/playlist.m3u8?ci=1811UaL6m35715720230321111235s7c&fileSize=29332669
你跟猪有区别吗,https://dghls.mcloud.139.com/hls/LLe88eb1aa3602c9ae04e39037d7d85c91/playlist.m3u8?ci=1811UaL6m35715720230409092349tx4&fileSize=6558844
可能 程响,https://vd2.bdstatic.com/mda-pda3hb7a15jba8v6/sc/cae_h264/1681188155834662487/mda-pda3hb7a15jba8v6.mp4?v_from_s=bdapp-landingpage-api-nanjing
可能 程响,https://dghls.mcloud.139.com/hls/LNf7fe91bc41492763ef368d045b02f351/playlist.m3u8?ci=1811UaL6m35715520230407094155hv3&fileSize=61739461
一半疯了一半算了,https://dghls.mcloud.139.com/hls/LMb7541204d2ec9fdd32dd3b4c1a8ff07e/playlist.m3u8?ci=1811UaL6m357154202304070919508cv&fileSize=26567217
人生的道场,https://dghls.mcloud.139.com/hls/L5722088f6d101a3ccbcd0eaa3248c4b30/playlist.m3u8?ci=1811UaL6m35717820230407085612bm9&fileSize=60198542
女生版太想念,https://dghls.mcloud.139.com/hls/LR52c5f31b851d9da7cf4b1981077e7faf/playlist.m3u8?ci=1811UaL6m35715420230321113802rlt&fileSize=24311894
小石头不修,https://vd3.bdstatic.com/mda-pcefwsv47cztwjtz/sc/cae_h264/1678883601786113207/mda-pcefwsv47cztwjtz.mp4?v_from_s=bdapp-bdappcore-feed-nanjing
小石头不修,https://dghls.mcloud.139.com/hls/LR8b0b824c6dc07bfcee813859dcfc8c61/playlist.m3u8?ci=1811UaL6m35715520230321113813fme&fileSize=90749280
我是你的格桑花,https://dghls.mcloud.139.com/hls/L4ae417c1025621270c7b7cf55e12f0777/playlist.m3u8?ci=1811UaL6m35715420230321152443wlj&fileSize=34841110
雅妍 A-YEON,https://dghls.mcloud.139.com/hls/L5aabc49c76a38182731d759391cb60b57/playlist.m3u8?ci=1811UaL6m357156202303211548058ix&fileSize=160023374
漂洋过海来看你,https://dghls.mcloud.139.com/hls/L5d56fffacaa0aa6e3c5c2e05ee625f340/playlist.m3u8?ci=1811UaL6m35715720230321154756igs&fileSize=14726298
笑看风云,https://dghls.mcloud.139.com/hls/LJc57c42129e77d707b6c4ba8fe702c62f/playlist.m3u8?ci=1811UaL6m35717820230327125134lyi&fileSize=60572850
上海滩,https://dghls.mcloud.139.com/hls/L5552341d05bebc2c1f810616829cc5acd/playlist.m3u8?ci=1811UaL6m357158202303211549375lu&fileSize=6668932
轻抚你的脸,https://dghls.mcloud.139.com/hls/L4dab28689cfa00002a6502e26a04e728c/playlist.m3u8?ci=1811UaL6m357158202303211539301gf&fileSize=35048411
汤晶锦合辑,https://dghls.mcloud.139.com/hls/LL8408ba1f8aa11d043c1101cb44966912/playlist.m3u8?ci=1811UaL6m35717720230321164420g55&fileSize=71079755
破碎的梦,https://dghls.mcloud.139.com/hls/LN6ce2a00d79e44072c319c7769586fe22/playlist.m3u8?ci=1811UaL6m35715420230321165439y55&fileSize=28847286
破碎的梦2,https://vd4.bdstatic.com/mda-patezah01pysjsvc/sc/cae_h264/1674902920158655678/mda-patezah01pysjsvc.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1679716634-0-0-a5eeb2a45ed793a207ee8de1cdf8027a&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1634428167&vid=5762670214480928705&abtest=107354_2-107353_1&klogid=1634428167
姬和不如,https://dghls.mcloud.139.com/hls/L216f076f4374ca5f644cd34ca8591dd45/playlist.m3u8?ci=1811UaL6m35715720230322210643gen&fileSize=206666220
阿珍爱上了阿强,https://dghls.mcloud.139.com/hls/L8c2ab26dddece0238ef036d0f289f5130/playlist.m3u8?ci=1811UaL6m357158202303231422118wy&fileSize=64875517
阿珍爱上了阿强1,https://vd2.bdstatic.com/mda-pcebermu2xk1hfzz/sc/cae_h264/1678868392588788785/mda-pcebermu2xk1hfzz.mp4?v_from_s=bdapp-landingpage-api-nanjing
阿珍爱上了阿强2,https://vd4.bdstatic.com/mda-pcicstwi8cr2jh6x/sc/cae_h264/1679242204052011472/mda-pcicstwi8cr2jh6x.mp4?v_from_s=bdapp-landingpage-api-nanjing
LIVE民谣,https://vd4.bdstatic.com/mda-pbnajxcz6raambr0/sc/cae_h264/1677137814219814459/mda-pbnajxcz6raambr0.mp4?v_from_s=bdapp-landingpage-api-nanjing


🎈高清频道,#genre#
MTV,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8
CCTV16-4K,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV16-4K,http://ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
纯享4K,http://159.75.85.63:5681/sxg.php?id=hxjc-4k_8000
欢笑剧场4K,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226582/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4K超高清电影,http://r.jdshipin.com/5DWJk
4K超高清电影,http://159.75.85.63:5681/sxg.php
爱自然4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
loupe4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
BESTV4K,http://[2409:8087:5e01:34::30]:6610/ZTE_CMS/00000001000000060000000000000202/index.m3u8?IAS
VTC13HD4K,http://vcdn1.vtc.gov.vn:1935/m_4k/smil:4k.smil/playlist.m3u8

VTC13 4K,http://vcdn1.vtc.gov.vn:1935/m_4k/smil:4k.smil/playlist.m3u8?$3840x2160
斗鱼4K,http://epg.112114.xyz/douyu/9249162

纯享4K,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw4259108076_496521789/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8?icpid=3&RTS=1658389916&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
欢笑剧场4K,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/wh7f454c46tw1868232_1764604972/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?icpid=3&RTS=1661190272&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3

纯享超清,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
8K测试 48M4320,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/wh7f454c46tw1934851583_-1658503044/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8?icpid=3&RTS=1674386345&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
CCTV16-4K 18M2160,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/wh7f454c46tw3303805862_1451729760/ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8?icpid=3&RTS=1674379124&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
CCTV16-4K 25M2160,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw3324980988_-41690276/ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8?icpid=3&RTS=1674379145&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
CCTV16-4K 34M2160HDR,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw3797101779_1427264412/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8?icpid=4&RTS=1674379617&from=40&popid=40&hms_devid=2113&prioritypopid=40&vqe=3
SiTV欢笑剧场 12M2160,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw3653121614_498192706/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?icpid=3&RTS=1674379473&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
纯享4K 12M2160,http://[2409:8087:2001:20:2800:0:df6e:eb12]:80/wh7f454c46tw3027752919_-1874130277/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8?icpid=3&RTS=1674378848&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
纯享4K 16M2160,http://[2409:8087:2001:20:2800:0:df6e:eb10]:80/wh7f454c46tw3154895646_1897439205/ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8?icpid=3&RTS=1674378975&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
纯享4K 16M2160,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/wh7f454c46tw2443769612_-1188450915/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8?icpid=3&RTS=1674369674&from=40&ocs=2_2409:8087:2004:20:2800:0:df6e:ec27_80&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
纯享4K 25M2160HDR,http://[2409:8087:2001:20:2800:0:df6e:eb11]:80/wh7f454c46tw3557828768_-2114508791/ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8?icpid=3&RTS=1674379378&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
纯享4K 30M2160HDR,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/wh7f454c46tw2045655319_-2135022099/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1674373571&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
4K修复 7M2160HEVC,http://[2409:8087:2001:20:2800:0:df6e:eb15]:80/wh7f454c46tw3859899175_1232992871/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8?icpid=3&RTS=1674379680&from=40&popid=40&hms_devid=2115&prioritypopid=40&vqe=3


💹新闻财经,#genre#

CCTV13新闻,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225812/index.m3u8

凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3

凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07

凤凰中文,http://61.221.81.93:8078/hls/21/80/phoenixch.m3u8
凤凰资讯,http://61.221.81.93:8078/hls/20/80/phoenixif.m3u8

新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
美国中文电视,https://jpts.sinovision.net/livestream.m3u8
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8$高清720P
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8$高清720P

CCTV2财经,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225599/index.m3u8

第一财经,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226966/index.m3u8
第一财经,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226966/index.m3u8
第一财经,http://[2409:8087:7001:20:1000::88]:6610/000000001000/5000000010000027146/index.m3u8?channel-id=bestzb&Contentid=5000000010000027146&livemode=1&stbId=3
第一财经,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001017/index.m3u8?
第一财经,http://222.71.90.218:8888/newlive/live/hls/57/live.m3u8
第一财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001017/index.m3u8

东方财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001318/index.m3u8
东方财经,https://cntv.sbs/live05?id=dfcj

点掌财经,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd
点掌财经,http://cclive.aniu.tv/live/anzb.m3u8

耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd

深圳财经,http://fxhack.f3322.org:8000/udp/239.77.1.242:5146

财富天下,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226350/1.m3u8?zjiangsd


🌴港澳台湾,#genre#
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8

凤凰中文,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰资讯,http://210.210.155.35:80/qwr9ew/s/s21/01.m3u8

凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8

凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8

凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰资讯http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8?zgangd,

民視高清,http://ali.hlspull.yximgs.com/live/huanqiuhklivephjwfpjwvnjfdlsetfjjjjsjsftewjhvcbjjfdjuoljbms.flv
中視高清,http://ali.hlspull.yximgs.com/live/huanqiuhklivejphfwnmfdcjfxcvhjjwjfbfjdyujjnmfcbsfjejtyhsdjs.flv
公視高清,http://ali.hlspull.yximgs.com/live/huanqiuhklivencxtdtejhlvmjsjwjejwttyjhvcbjjjsjntjvbjugsxw.flv
TVBS,http://ali.hlspull.yximgs.com/live/huanqiuhklivejpjovdxjojfdejodsjxcvljjfvhnjljjjobjjjsvhjchtvbs.flv
非凡新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivesjtnfjjojdcbfcxvjfuujjwejjjsjyuhhdjsjhjynffxw.flv
東森洋片,http://ali.hlspull.yximgs.com/live/huanqiuhklivejmjptdjjxfjwetjvbjstjjjsutyhdjhfljjfhfhyjwjsyp.flv
東森電影,http://ali.hlspull.yximgs.com/live/huanqiuhklivejowdxnjltdjhecvxcjjejjejyhjdyduojuomdfjhjjjdjsjy.flv
東森戲劇,http://ali.hlspull.yximgs.com/live/huanqiuhkliveyvjojmfdycvbjcxljdjfxdcvnjvdwspjcophjfvjtycxjpjjmendsxd.flv
年代新聞,http://ali.hlspull.yximgs.com/live/huanqiuhkliveojevdyscvbudlojlnsfjewtjudvbbjxfjnjlvcjdjdnjxw.flv
中天新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivepjjtvvjjjyjuujjfvbscvjdjtwjfsjjsjjjcvuyjemjejtxw.flv
寰宇新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivephxehmffjuxcxjvejejyhmnjjxjjhjdhnjbnxfdjfhyxw.flv
中視新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivepnvjydstudjbsjcvbfjjjsjfjsjwetymjldhdujocnjsxw.flv
台視新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivencjjtjjudtjljcvbcvntjjjsfwetjfvcbcxvdjbjfflvcjtsxw.flv
東森新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivemhjttujjcvbyjuojdjjejywefjjfbxfbxxvbjjjljjhjsxw.flv
三立新聞,http://ali.hlspull.yximgs.com/live/huanqiuhklivehmcyoywjjubjdfjfvchtjujxcjxvcbsjfsdxcbmjsllivexw.flv
凤凰卫视,http://ali.hlspull.yximgs.com/live/huanqiuhklivetvjjpcpvuejljydjjyfjoxvchjwhjwdojjjhjjlsjhbjfhjw.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/huanqiuhklivetvjjpcpdvuejljyjjyfjoxvchjwhjwojjjhdjjlsjhbjfhjx.flv
HBO HD,http://ali.hlspull.yximgs.com/live/huanqiuhklivemjjljpwjdctdfhdvjdjdujlvcbeywejweefshjfhhjsjjcxhbo.flv
AXN,http://ali.hlspull.yximgs.com/live/huanqiuhklivejejcxlvofbjbvbjjjfjvjhslcfybjssxsjbcjcfdvsfcbjbnjtyjxn.flv
HBO Signature,http://ali.hlspull.yximgs.com/live/huanqiuhklivetjcvsjgcjyhpvobjxclmvhjogdjbodbsjhlelevendhbosignature.flv
探索频道,http://ali.hlspull.yximgs.com/live/huanqiuhklivejejcxlvofbjbvnjjsfjvbhfhcvbcvjfdvbnjcjjsjjjejjtspj.flv

耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000?zgangd
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
东森新闻美洲台,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
